Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,frame,class
286.059,278.127,286.049,336.058,225.527,303.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.657,267.626,290.019,262.347,243.966,278.147,0.0,0.0,102,0
286.058,278.195,283.429,345.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.99,267.607,290.029,261.065,237.372,279.504,0.0,0.0,103,0
286.045,278.2,283.43,345.281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.983,267.624,290.012,261.076,237.383,279.506,0.0,0.0,104,0
249.202,304.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.904,279.518,250.544,275.512,187.354,299.22,0.0,0.0,230,0
249.227,305.794,0.0,0.0,168.929,363.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.905,279.496,257.118,279.466,187.361,299.24,0.0,0.0,231,0
247.863,307.11,0.0,0.0,170.253,357.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.506,280.806,258.416,287.374,188.682,299.193,0.0,0.0,235,0
245.265,288.702,0.0,0.0,174.223,354.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.951,279.435,247.876,270.269,183.431,297.874,0.0,0.0,247,0
243.953,289.974,0.0,0.0,182.08,365.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.323,278.196,247.902,268.96,183.433,300.542,0.0,0.0,250,0
245.24,288.722,0.0,0.0,180.79,363.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.328,278.189,247.914,268.961,183.436,300.538,0.0,0.0,251,0
243.922,288.694,233.416,340.013,183.41,354.483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.93,279.48,246.545,268.964,184.746,296.6,0.0,0.0,252,0
