Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,frame,class
0.0,0.0,204.505,204.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.298,257.129,230.794,290.038,243.925,332.125,220.241,255.782,232.089,290.014,245.28,330.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0
0.0,0.0,204.51,204.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.299,257.132,232.093,290.046,243.949,332.132,220.244,255.788,232.111,290.02,246.565,330.823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0
0.0,0.0,205.81,205.824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.02,258.426,230.806,290.029,245.267,330.839,218.94,257.091,234.705,290.003,247.876,330.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0
0.0,0.0,205.81,205.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.02,258.426,232.083,290.027,245.267,330.839,218.94,257.09,234.706,290.002,247.875,330.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0
0.0,0.0,205.817,207.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.617,258.469,234.724,292.638,246.579,330.835,217.619,257.147,236.042,291.332,247.94,330.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0
0.0,0.0,205.794,205.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.614,258.467,233.413,292.641,246.601,330.838,216.311,258.433,236.036,291.348,247.964,330.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0
0.0,0.0,205.787,204.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.33,258.455,233.428,292.647,246.591,332.079,216.308,258.406,236.052,292.618,249.205,330.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0
0.0,0.0,205.801,205.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.328,258.429,233.416,292.625,246.594,330.839,216.315,257.131,236.048,291.313,247.942,330.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0
0.0,0.0,207.094,207.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.255,259.769,234.72,297.885,246.56,332.152,218.94,258.433,236.049,296.59,247.904,330.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0
0.0,0.0,209.721,211.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.953,258.459,233.425,293.944,246.574,330.83,221.571,257.118,236.009,291.345,247.914,330.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0
0.0,0.0,209.72,211.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.257,258.467,234.73,293.954,247.868,330.828,221.56,257.129,236.05,292.627,247.946,330.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0
0.0,0.0,205.83,205.807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.949,257.123,233.409,291.312,245.22,332.118,221.574,255.792,236.003,290.033,247.899,330.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0
0.0,0.0,205.844,204.461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.635,255.79,232.12,290.044,246.579,330.82,220.254,255.767,234.732,290.033,247.956,330.779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,0
0.0,0.0,205.842,204.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.617,257.068,232.1,291.322,246.54,330.832,220.254,255.796,234.747,291.301,247.954,330.788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0
0.0,0.0,205.831,207.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.636,258.408,232.09,293.94,243.919,332.14,222.864,257.106,236.053,292.648,249.193,330.813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0
0.0,0.0,207.137,207.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.938,258.398,232.116,292.652,242.606,332.118,222.874,257.087,236.05,292.652,249.196,330.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,0
0.0,0.0,207.136,207.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.938,258.398,232.115,292.651,242.605,332.118,222.873,257.086,236.049,292.652,249.195,330.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0
0.0,0.0,207.104,207.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.649,257.108,232.119,290.03,246.531,330.802,221.578,255.809,236.012,290.015,247.937,330.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,0
0.0,0.0,207.087,205.837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.647,257.102,232.117,290.029,246.529,330.8,221.577,255.806,236.009,290.014,247.936,330.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,0
0.0,0.0,205.845,207.136,0.0,0.0,0.0,0.0,0.0,0.0,207.119,205.788,225.552,218.956,0.0,0.0,217.633,258.393,234.729,291.313,246.585,330.832,224.178,257.069,236.091,290.044,249.206,330.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,0
0.0,0.0,205.853,207.133,0.0,0.0,0.0,0.0,0.0,0.0,207.136,205.787,225.537,218.951,0.0,0.0,217.623,257.111,234.718,290.034,246.613,330.829,224.171,255.796,236.077,290.033,249.208,330.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,0
0.0,0.0,205.854,207.134,0.0,0.0,0.0,0.0,0.0,0.0,207.136,205.787,225.537,218.951,0.0,0.0,217.624,257.111,234.718,290.035,246.613,330.829,224.172,255.797,236.077,290.034,249.209,330.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,0
0.0,0.0,208.404,205.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.653,257.115,232.104,291.306,246.526,332.087,221.557,255.786,234.722,290.047,247.939,330.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,0
0.0,0.0,207.13,205.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.352,257.141,230.796,291.312,245.25,332.114,218.946,257.063,234.699,290.051,249.196,330.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0
0.0,0.0,208.429,207.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.652,257.135,233.414,291.329,246.594,332.097,220.27,255.809,235.996,291.31,247.959,330.813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,0
0.0,0.0,211.039,208.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.932,259.731,234.706,291.351,245.25,332.116,218.951,258.383,236.016,291.326,247.912,330.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,0
0.0,0.0,209.733,207.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.94,258.465,234.736,291.306,245.269,332.094,218.955,257.133,236.029,290.043,247.907,330.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,0
0.0,0.0,209.726,208.434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.933,258.455,234.736,292.635,246.573,332.112,222.876,258.397,236.083,291.337,247.954,330.837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,0
0.0,0.0,209.731,208.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.94,258.463,234.745,292.64,246.577,332.115,222.877,258.403,236.087,291.344,247.956,330.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77,0
